"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EBAQ75DV","report","2011","Ince, PJ; Kramp, A; Skog, KE; Spelter, HN; Wear, DN","U.S. Forest Products Module: A technical document supporting the Forest Service 2010 RPA Assessment. Research Paper FPL-RP-662","","","","","http://www.fpl.fs.fed.us/documnts/fplrp/fpl_rp662.pdf","The U.S. Forest Products Module (USFPM) is a partial market equilibrium model of the U.S. forest sector that operates within the Global Forest Products Model (GFPM) to provide long-range timber market projections in relation to global economic scenarios. USFPM was designed specifically for the 2010 RPA forest assessment, but it is being used also in other applications. Within the GFPM framework of global forest product markets and trade, USFPM models aggregate U.S. forest product demands and regional forest product production, timber harvest, and timber stumpage markets in three U.S. subregions: North, South, and West. In each subregion, USFPM models timber stumpage markets for four categories of timber, including hardwood and softwood sawtimber and hardwood and softwood non-sawtimber. USFPM models regional timber harvest and transport activities as the conversion of timber stumpage supplies into delivered timber product outputs (sawlogs/veneer logs, pulpwood/composite timber, other industrial roundwood, and fuelwood) plus logging residues. USFPM also adds more complete product detail in U.S. regions, by differentiating hardwood lumber and softwood lumber, OSB structural panels and industrial particleboard, and hardwood and softwood plywood. In addition, USFPM models potential future supplies of agricultural short-rotation woody crops (SRWC) for energy and fiber, along with wood residue byproducts of sawmills and plywood mills, and the utilization of those materials in production of pulp, wood panels, and energy. USFPM thus models all forms of wood biomass feedstock that could be used potentially for future energy production in the United States, including fuelwood harvest, other roundwood, mill residues, agricultural SRWC, and logging residues. This report describes the structure of USFPM in detail and presents some examples of results and conclusions about future trends in wood energy demands and U.S. timber markets based on USFPM and GFPM projections. A key finding is that projected future trends in U.S. consumption, production, and net trade in forest products are heavily influenced by assumptions about future expansion in U.S. and global wood energy demands. The projected effects of expansion in U.S. and global wood energy consumption are to dampen growth in forest product consumption (because of price impacts on demands) but also to provide greater comparative advantages and enhanced net exports for U.S. producers of forest products (because of price impacts on foreign producers). Prodigious expansion in wood energy demands could cause significant escalation in real U.S. timber prices, but on the other hand, real U.S. timber stumpage prices are not projected to increase without fairly substantial increases in wood energy consumption.","2011","2020-06-18 17:39:03","2021-12-07 19:28:35","","61","","","","","","","","","","2010 RPA Assessment","USDA, USFS, Forest Products Laboratory","Madison, WI","","","GTR","","","","","","<p>GFPM_USFPM</p>","D:\Adatafolder\Zotero\storage\HP23W9TA\Ince et al. - 2011 - U.S. Forest Products Module A technical document .pdf","","Pools; Wood products; Agriculture; WD; Reports (non-GTR)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HMI77SNI","journalArticle","2012","Ince, PJ; Kramp, A; Skog, KE","Evaluating economic impacts of expanded global wood energy consumption with the USFPM/GFPM model","Canadian Journal of Agricultural Economics","","","10.1111/j.1744-7976.2012.01249.x.","https://www.fpl.fs.fed.us/documnts/pdf2012/fpl_2012_ince001.pdf","A U.S. forest sector market module was developed within the general Global Forest Products Model. The U.S. module tracks regional timber markets, timber harvests by species group, and timber product outputs in greater detail than does the global model. This hybrid approach provides detailed regional market analysis for the United States although retaining the broader global market analysis. We describe how the U.S. Forest Products Module is structured within the global model and show projections based on Intergovernmental Panel on Climate Change scenarios with long-range assumptions about economic activity, population growth, and wood energy demands. Results show that real prices for industrial roundwood would increase as a result of significant global expansion in wood energy demands. Expansion of global wood energy demands would influence the comparative economic advantages of U.S. versus foreign producers, with U.S. producers gaining some comparative advantages and increased net exports in scenarios where average foreign industrial roundwood prices are projected to increase more than in the United States. These results suggest that national wood energy policies should consider how the impacts of wood energy use on domestic forest product markets depend on trends in global forest product markets.","2012","2020-06-18 17:36:38","2020-10-07 16:30:24","","211-237","","","60","","","","","","","","","","","","","","","","","","<p>GFPM_USFPM</p>","D:\Adatafolder\Zotero\storage\TULWQK7R\Ince et al. - 2012 - Evaluating economic impacts of expanded global woo.pdf","","Journal Article; Wood products; Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GD4ZQCXV","journalArticle","2006","Pataki, D. E.; Alig, R. J.; Fung, A. S.; Golubiewski, N. E.; Kennedy, C. A.; Mcpherson, E. G.; Nowak, D. J.; Pouyat, R. V.; Romero Lankao, P.","Urban ecosystems and the North American carbon cycle","Global Change Biology","","1354-1013, 1365-2486","10.1111/j.1365-2486.2006.01242.x","http://doi.wiley.com/10.1111/j.1365-2486.2006.01242.x","Approximately 75–80% of the population of North America currently lives in urban areas as deﬁned by national census bureaus, and urbanization is continuing to increase. Future trajectories of fossil fuel emissions are associated with a high degree of uncertainty; however, if the activities of urban residents and the rate of urban land conversion can be captured in urban systems models, plausible emissions scenarios from major cities may be generated. Integrated land use and transportation models that simulate energy use and trafﬁc-related emissions are already in place in many North American cities. To these can be added a growing dataset of carbon gains and losses in vegetation and soils following urbanization, and a number of methods of validating urban carbon balance modeling, including top down atmospheric monitoring and urban ‘metabolic’ studies of whole ecosystem mass and energy ﬂow. Here, we review the state of our understanding of urban areas as whole ecosystems with regard to carbon balance, including both drivers of fossil fuel emissions and carbon cycling in urban plants and soils. Interdisciplinary, whole-ecosystem studies of the socioeconomic and biophysical factors that inﬂuence urban carbon cycles in a range of cities may greatly contribute to improving scenarios of future carbon balance at both continental and global scales.","2006-11","2020-06-17 23:24:22","2020-10-07 23:50:24","2020-06-17 23:24:22","2092-2102","","11","12","","","","","","","","","","en","","","","","Crossref","","","","D:\Adatafolder\Zotero\storage\HVDMK74U\Pataki et al. - 2006 - Urban ecosystems and the North American carbon cyc.pdf","","Journal Article; Processes; Urban forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J26X9DA7","report","2009","Ackerman, Katherine V.; Mixon, David M.; Sundquist, Eric T.; Stallard, Robert F.; Schwarz, Gregory E.; Stewart, David W.","RESIS–II: An Updated Version of the Original Reservoir Sedimentation Survey Information System (RESIS) Database","","","","","http://pubs.usgs.gov/ds/ds434","The Reservoir Sedimentation Survey Information System (RESIS) database, originally compiled by the Soil Conservation Service (now the Natural Resources Conservation Service) in collaboration with the Texas Agricultural Experiment Station, is the most comprehensive compilation of data from reservoir sedimentation surveys throughout the conterminous United States (U.S.). The database is a cumulative historical archive that includes data from as early as 1755 and as late as 1993. The 1,823 reservoirs included in the database range in size from farm ponds to the largest U.S. reservoirs (such as Lake Mead). Results from 6,617 bathymetric surveys are available in the database. This Data Series provides an improved version of the original RESIS database, termed RESIS–II, and a report describing RESIS–II. The RESIS–II relational database is stored in Microsoft Access and includes more precise location coordinates for most of the reservoirs than the original database but excludes information on reservoir ownership. RESIS–II is anticipated to be a template for further improvements in the database.","2009","2020-06-05 19:06:41","2020-10-14 16:57:34","","","","","","","","","","","","","U.S. Geological Survey","","en","","Data Series","","","Crossref","","Series: Data Series","","D:\Adatafolder\Zotero\storage\LIA68Y5D\Ackerman et al. - 2009 - RESIS–II An Updated Version of the Original Reser.pdf; D:\Adatafolder\Zotero\storage\87E89T5J\DS434.mdb","","Pools; Flux; Aquatic; California; Oregon; Washington; Reports (non-GTR)","","","","","","","","","","","","","","","","","","","","434","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XTGKCN9","journalArticle","2012","Stockmann, KD; Anderson, NM; Skog, KE; Healy, SP; Loeffler, DR; Jones, G; Morrison, JF","Estimates of carbon stored in harvested wood products from the United States forest service northern region, 1906-2010.","Carbon Balance and Management","","","","https://cbmjournal.biomedcentral.com/track/pdf/10.1186/1750-0680-7-1","Global forests capture and store significant amounts of CO2 through photosynthesis. When carbon is removed from forests through harvest, a portion of the harvested carbon is stored in wood products, often for many decades. The United States Forest Service (USFS) and other agencies are interested in accurately accounting for carbon flux associated with harvested wood products (HWP) to meet greenhouse gas monitoring commitments and climate change adaptation and mitigation objectives. This paper uses the Intergovernmental Panel on Climate Change (IPCC) production accounting approach and the California Forest Project Protocol (CFPP) to estimate HWP carbon storage from 1906 to 2010 for the USFS Northern Region, which includes forests in northern Idaho, Montana, South Dakota, and eastern Washington.","2012","2020-06-04 19:11:21","2020-10-09 20:33:25","","16","","1","7","","","","","","","","","","","","","","","","","","<p>HWP - IPCC/EPA</p>","D:\Adatafolder\Zotero\storage\4RQAKQIX\Stockmann et al. - 2012 - Estimates of carbon stored in harvested wood produ.pdf","","Pools; Journal Article; Wood products","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BYABLCR2","journalArticle","2018","Anderson-Teixeira, Kristina J.; Wang, Maria M. H.; McGarvey, Jennifer C.; Herrmann, Valentine; Tepley, Alan J.; Bond-Lamberty, Ben; LeBauer, David S.","ForC: a global database of forest carbon stocks and fluxes","Ecology","","00129658","10.1002/ecy.2229","http://doi.wiley.com/10.1002/ecy.2229","Forests play an influential role in the global carbon (C) cycle, storing roughly half of terrestrial C and annually exchanging with the atmosphere more than five times the carbon dioxide (CO2) emitted by anthropogenic activities. Yet, scaling up from field-based measurements of forest C stocks and fluxes to understand global scale C cycling and its climate sensitivity remains an important challenge. Tens of thousands of forest C measurements have been made, but these data have yet to be integrated into a single database that makes them accessible for integrated analyses. Here we present an open-access global Forest Carbon database (ForC) containing previously published records of field-based measurements of ecosystem-level C stocks and annual fluxes, along with disturbance history and methodological information. ForC expands upon the previously published tropical portion of this database, TropForC (https://doi.org/10.5061/dryad.t516f), now including 17,367 records (previously 3,568) representing 2,731 plots (previously 845) in 826 geographically distinct areas. The database covers all forested biogeographic and climate zones, represents forest stands of all ages, and currently includes data collected between 1934 and 2015. We expect that ForC will prove useful for macroecological analyses of forest C cycling, for evaluation of model predictions or remote sensing products, for quantifying the contribution of forests to the global C cycle, and for supporting international efforts to inventory forest carbon and greenhouse gas exchange. A dynamic version of ForC is maintained at on GitHub (https://GitHub.com/forc-db), and we encourage the research community to collaborate in updating, correcting, expanding, and utilizing this database. ForC is an open access database, and we encourage use of the data for scientific research and education purposes. Data may not be used for commercial purposes without written permission of the database PI. Any publications using ForC data should cite this publication and Anderson-Teixeira et al. (2016a) (see Metadata S1). No other copyright or cost restrictions are associated with the use of this data set.","2018-06","2020-06-01 16:36:56","2020-10-01 19:55:54","2020-06-01 16:36:56","1507-1507","","6","99","","","ForC","","","","","","","en","","","","","Crossref","","","<p>Used 0.47 for carbon conversion factor on biomass.</p>","D:\Adatafolder\Zotero\storage\25EZ3JTU\Anderson-Teixeira et al. - 2018 - ForC a global database of forest carbon stocks an.pdf; D:\Adatafolder\Zotero\storage\QRMVJP3X\ForC_simplified_metadata.htm; D:\Adatafolder\Zotero\storage\SCW2PAGX\ForC_simplified.txt","","Biomass; Pools; Journal Article; Flux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3CTP2HP","report","2012","Daniel, CJ; Frid, L","Predicting Landscape Vegetation Dynamics Using State-and-Transition Simulation Models.","","","","","https://www.fs.fed.us/pnw/pubs/pnw_gtr869/pnw_gtr869_002.pdf","This paper outlines how state-and-transition simulation models (STSMs) can be used to project changes in vegetation over time across a landscape. STSMs are stochastic, empirical simulation models that use an adapted Markov chain approach to predict how vegetation will transition between states over time, typically in response to interactions between succession, disturbances and management. With STSMs a landscape is divided into a set of simulation cells, each cell is assigned to an initial vegetation state, and the model then predicts how each cell may change from one vegetation state to another over time. Over the years an extensive suite of features have been added to STSMs that allow them to represent a range of dynamics important to landscape modeling, including tracking age-structure, triggering transitions based on past events, setting targets for certain transitions, and varying transition rates over time. STSMs are also now able to represent spatial variability in two different ways: by dividing the landscape into spatial strata, typically defined by one or more important drivers of vegetation change, or alternatively by developing a spatially-explicit STSM, whereby transition events, such as fire or invasion by non-native vegetation, can be simulated to spread across the landscape. Since their introduction in the early 1990s, STSMs have been applied to a wide range of landscapes and management questions, including forests, rangelands, grasslands, wetlands and aquatic communities, over spatial extents ranging from thousands to millions of hectares. Several software tools currently exist to support the development of STSMs; the most recent of these products, called the Path Landscape Model, is the latest in a lineage of STSM development tools that includes both the Vegetation Dynamics Development Tool (VDDT) and the Tool for Exploratory Landscape Analysis (TELSA). Keywords: state-and-transition simulation model, STSM, ecological model, ecological restoration, ecosystem management, landscape ecology, vegetation dynamics, Path Landscape Model, TELSA, VDDT.","2012","2020-05-20 23:12:46","2020-10-14 17:00:20","","18","","","","","","","","","","Proceedings of the First Landscape State-and-Transition Simulation Modeling Conference","PNW Research Station","British Columbia, Canada","","","General Technical Report","","","","","","<p>STSM VDDT</p>","D:\Adatafolder\Zotero\storage\TPRCP9DV\Daniel and Frid - 2012 - Predicting Landscape Vegetation Dynamics Using Sta.pdf","","Modeling; Pools; GTR; Flux","","","","","","","","","","","","","","","","","","","","PNW-GTR-869","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZK52R74V","journalArticle","2015","Sleeter, BM; Liu, J; Daniel, C; Frid, L; Zhu, Z","An integrated approach to modeling changes in land use, land cover, and disturbance and their impact on ecosystem carbon dynamics: a case study in the Sierra Nevada Mountains of California.","Environmental Science","","","10.3934/environsci.2015.3.577","","Increased land-use intensity (e.g. clearing of forests for cultivation, urbanization), often results in the loss of ecosystem carbon storage, while changes in productivity resulting from climate change may either help offset or exacerbate losses. However, there are large uncertainties in how land and climate systems will evolve and interact to shape future ecosystem carbon dynamics. To address this we developed the Land Use and Carbon Scenario Simulator (LUCAS) to track changes in land use, land cover, land management, and disturbance, and their impact on ecosystem carbon storage and flux within a scenario-based framework. We have combined a state-and-transition simulation model (STSM) of land change with a stock and flow model of carbon dynamics. Land-change projections downscaled from the Intergovernmental Panel on Climate Change’s (IPCC) Special Report on Emission Scenarios (SRES) were used to drive changes within the STSM, while the Integrated Biosphere Simulator (IBIS) ecosystem model was used to derive input parameters for the carbon stock and flow model. The model was applied to the Sierra Nevada Mountains ecoregion in California, USA, a region prone to large wildfires and a forestry sector projected to intensify over the next century. Three scenario simulations were conducted, including a calibration scenario, a climate-change scenario, and an integrated climate- and land-change scenario. Based on results from the calibration scenario, the LUCAS age-structured carbon accounting model was able to accurately reproduce results obtained from the process-based biogeochemical model. Under the climate-only scenario, the ecoregion was projected to be a reliable net sink of carbon, however, when land use and disturbance were introduced, the ecoregion switched to become a net source. This research demonstrates how an integrated approach to carbon accounting can be used to evaluate various drivers of ecosystem carbon change in a robust, yet transparent modeling environment.","2015","2020-05-20 23:09:58","2020-10-09 18:35:36","","577-606","","3","2","","","","","","","","","","","","","","","","","","<p>STSM</p>","D:\Adatafolder\Zotero\storage\P2HGFXH3\Sleeter et al. - 2015 - An integrated approach to modeling changes in land.pdf","","Modeling; Journal Article; Processes; Disturbance; Land use","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MVMCFNF","journalArticle","2018","Daniel, CJ; Frid, BM; Sleeter, L; Fortin, M-J","Integrating continuous stocks and flows into state-and-Transition simulation models of landscape change.","Methods in Ecology","","","DOI: 10.1111/2041-210X.12952","","1. State-and-transition simulation models (STSMs) provide a general framework for forecasting landscape dynamics, including projections of both vegetation and landuse/land-cover (LULC) change. The STSM method divides a landscape into spatially referenced cells and then simulates the state of each cell forward in time, as a discrete-time stochastic process using a Monte Carlo approach, in response to any number of possible transitions. A current limitation of the STSM method, however, is that all of the state variables must be discrete. 2. Here we present a new approach for extending a STSM, in order to account for continuous state variables, called a STSM with stocks and flows (STSM-SF). The STSM–SF method allows for any number of continuous stocks to be defined for every spatial cell in the STSM, along with a suite of continuous flows specifying the rates at which stock levels change over time. The change in the level of each stock is then simulated forward in time, for each spatial cell, as a discrete-time stochastic process. The method differs from the traditional systems dynamics approach to stock-flow modelling in that the stocks and flows can be spatially explicit, and the flows can be expressed as a function of the STSM states and transitions. 3. We demonstrate the STSM-SF method by integrating a spatially explicit carbon (C) budget model with a STSM of LULC change for the state of Hawai’i, USA. In this example, continuous stocks are pools of terrestrial C, whereas the flows are the possible fluxes of C between these pools. Importantly, several of these C fluxes are triggered by corresponding LULC transitions in the STSM. Model outputs include changes in the spatial and temporal distribution of C pools and fluxes across the landscape in response to projected future changes in LULC over the next 50 years. 4. The new STSM-SF method allows both discrete and continuous state variables to be integrated into a STSM, including interactions between them. With the addition of stocks and flows, STSMs provide a conceptually simple yet powerful approach for characterizing uncertainties in projections of a wide range of questions regarding landscape change.","2018","2020-05-20 23:04:09","2021-02-25 17:18:25","","1133–1143","","","9","","","","","","","","","","","","","","","","","","<p>STSM</p>","D:\Adatafolder\Zotero\storage\7BISCCSA\Daniel et al. - 2018 - Integrating continuous stocks and flows into state.pdf","","Modeling; Pools; Journal Article; Flux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6IZ3HQUN","journalArticle","2016","Daniel, CJ; Sleeter, BM; Frid, L; Fortin, M-J","State-and-transition simulation models: a framework for forecasting landscape change.","Methods in Ecology and Evolution","","","doi: 10.1111/2041-210X.12597","","Summary: 1. A wide range of spatially explicit simulation models have been developed to forecast landscape dynamics, including models for projecting changes in both vegetation and land use. While these models have generally been developed as separate applications, each with a separate purpose and audience, they share many common features. 2. We present a general framework, called a state-and-transition simulation model (STSM), which captures a number of these common features, accompanied by a software product, called ST-Sim, to build and run such models. The STSM method divides a landscape into a set of discrete spatial units and simulates the discrete state of each cell forward as a discrete-time-inhomogeneous stochastic process. The method differs from a spatially interacting Markov chain in several important ways, including the ability to add discrete counters such as age and time-since-transition as state variables, to specify one-step transition rates as either probabilities or target areas, and to represent multiple types of transitions between pairs of states. 3. We demonstrate the STSM method using a model of land-use/land-cover (LULC) change for the state of Hawai’i, USA. Processes represented in this example include expansion/contraction of agricultural lands, urbanization, wildfire, shrub encroachment into grassland and harvest of tree plantations; the model also projects shifts in moisture zones due to climate change. Key model output includes projections of the future spatial and temporal distribution of LULC classes and moisture zones across the landscape over the next 50 years. 4. State-and-transition simulation models can be applied to a wide range of landscapes, including questions of both land-use change and vegetation dynamics. Because the method is inherently stochastic, it is well suited for characterizing uncertainty in model projections. When combined with the ST-Sim software, STSMs offer a simple yet powerful means for developing a wide range of models of landscape dynamics.","2016","2020-05-20 23:01:19","2020-10-05 19:21:42","","1413–1423","","","7","","","","","","","","","","","","","","","","","","; <p>STSM</p>","D:\Adatafolder\Zotero\storage\G7UA88GI\Daniel et al. - 2016 - State-and-transition simulation models a framewor.pdf","","Modeling; Pools; Journal Article; Flux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
